央视频道,#genre#
CCTV1,http://219.157.48.211:8090/rtp/225.1.4.73:1102
CCTV2,http://219.157.48.211:8090/rtp/225.1.4.74:1103
CCTV3,http://219.157.48.211:8090/rtp/225.1.4.158:1194
CCTV4,http://219.157.48.211:8090/rtp/225.1.5.30:1333
CCTV5,http://219.157.48.211:8090/rtp/225.1.4.159:1195
CCTV6,http://219.157.48.211:8090/rtp/225.1.4.160:1196
CCTV7,http://219.157.48.211:8090/rtp/225.1.4.76:1105
CCTV8,http://219.157.48.211:8090/rtp/225.1.4.161:1197
CCTV9,http://219.157.48.211:8090/rtp/225.1.4.77:1106
CCTV10,http://219.157.48.211:8090/rtp/225.1.4.78:1107
CCTV11,http://219.157.48.211:8090/rtp/225.1.4.215:1268
CCTV12,http://219.157.48.211:8090/rtp/225.1.4.79:1108
CCTV13,http://219.157.48.211:8090/rtp/225.1.4.113:1293
CCTV14,http://219.157.48.211:8090/rtp/225.1.4.80:1109
CCTV15,http://219.157.48.211:8090/rtp/225.1.4.216:1269
CCTV16,http://219.157.48.211:8090/rtp/225.1.5.46:1356
CCTV17,http://219.157.48.211:8090/rtp/225.1.4.226:2506
CCTV5,http://219.157.48.211:8090/rtp/225.1.4.75:1104
CCTV1,http://219.157.48.211:8090/rtp/225.1.4.1:1030
CCTV2,http://219.157.48.211:8090/rtp/225.1.4.2:1031
CCTV4,http://219.157.48.211:8090/rtp/225.1.4.4:1033
CCTV7,http://219.157.48.211:8090/rtp/225.1.4.7:1036
CCTV9,http://219.157.48.211:8090/rtp/225.1.4.9:1038
CCTV10,http://219.157.48.211:8090/rtp/225.1.4.10:1039
CCTV11,http://219.157.48.211:8090/rtp/225.1.4.11:1040
CCTV12,http://219.157.48.211:8090/rtp/225.1.4.12:1041
CCTV13,http://219.157.48.211:8090/rtp/225.1.4.13:1042
CCTV14,http://219.157.48.211:8090/rtp/225.1.4.14:1043
CCTV15,http://219.157.48.211:8090/rtp/225.1.4.15:1044
CCTV17,http://219.157.48.211:8090/rtp/225.1.4.227:2507
CCTV4,http://219.157.48.211:8090/rtp/225.1.5.31:1342
CCTV4,http://219.157.48.211:8090/rtp/225.1.5.32:1343
CCTV1,http://171.127.250.242:8083/rtp/226.0.2.153:9136
CCTV2,http://171.127.250.242:8083/rtp/226.0.2.154:9144
CCTV3,http://171.127.250.242:8083/rtp/226.0.2.208:9576
CCTV4,http://171.127.250.242:8083/rtp/226.0.2.156:9160
CCTV5,http://171.127.250.242:8083/rtp/226.0.2.209:9584
CCTV6,http://171.127.250.242:8083/rtp/226.0.2.210:9592
CCTV7,http://171.127.250.242:8083/rtp/226.0.2.159:9184
CCTV8,http://171.127.250.242:8083/rtp/226.0.2.211:9600
CCTV9,http://171.127.250.242:8083/rtp/226.0.2.161:9200
CCTV10,http://171.127.250.242:8083/rtp/226.0.2.162:9208
CCTV12,http://171.127.250.242:8083/rtp/226.0.2.164:9224
CCTV13,http://171.127.250.242:8083/rtp/226.0.2.165:9232
CCTV14,http://171.127.250.242:8083/rtp/226.0.2.166:9240
